시도,시군구,지정번호,업소명,소재지도로명주소,소재지지번주소,위도,경도,전화번호,주요메뉴,업태,비고,데이터 기준일자
강원도,홍천군,23,양지말화로구이,강원도홍천군홍천읍양지말길174,강원도홍천군홍천읍하오안리1014,37.6596173,127.8311436,0334351555,고기류,식육숯불구이,null,20180125
강원도,홍천군,68,한림정,강원도홍천군홍천읍송학강변로1길17,강원도홍천군홍천읍연봉리25514,37.6863589,127.8761771,0334348300,한정식,한식,null,20180125
강원도,홍천군,78,늘푸름임꺽정,강원도홍천군홍천읍무궁화로4길11,강원도홍천군홍천읍연봉리2844,37.6838465,127.8717289,0334353111,한식등심,식육숯불구이,null,20180125
강원도,홍천군,134,숲속에까망돼지,강원도홍천군홍천읍설악로11075,강원도홍천군홍천읍하오안리572,37.6851758,127.8711288,0334341414,흑돼지구이,식육숯불구이,null,20180125
강원도,횡성군,34,함밭식당,강원도횡성군횡성읍섬강로88,강원도횡성군횡성읍북천리2063,37.4989253,127.9891834,0333432549,한우등심한우불고기,한식,null,20180125
강원도,횡성군,105,축협한우프라자,강원도횡성군우천면우항3길6,강원도횡성군우천면우항리5835,37.4598988,128.0637167,0333436160,한우,한식,null,20180125
강원도,영월군,122,영월동강한우,강원도영월군영월읍중앙1로12,강원도영월군영월읍하송리74,37.1821535,128.4661628,0333721550,한우구이,식육숯불구이,null,20180125
강원도,영월군,123,물레방아쉼터,강원도영월군영월읍중앙로803,강원도영월군영월읍정양리119,37.1486308,128.5180017,0333741188,민물매운탕,한식,null,20180125
강원도,영월군,157,영월본가,강원도영월군영월읍은행나무5길25,강원도영월군영월읍하송리16111,37.1793734,128.4629699,0333741110,곤드레정식,한식,2018신규,20180125
강원도,평창군,46,황소고집,강원도평창군평창읍평창중앙로8328,강원도평창군평창읍하리1033,37.3697957,128.3946932,0333331818,등심갈비,한식,null,20180125
강원도,평창군,79,고향막국수,강원도평창군봉평면이효석길142,강원도평창군봉평면창동리5422,37.6126635,128.3713994,0333361211,막국수,한식,null,20180125
강원도,평창군,80,봉평매밀미가연,강원도평창군봉평면기풍로108,강원도평창군봉평면창동리2687,37.6119954,128.3783168,0333358805,막국수,한식,null,20180125
강원도,평창군,106,국일관바다회,강원도평창군평창읍송학로31,강원도평창군평창읍하리703,37.3674527,128.3925776,0333322419,생선회,회집,null,20180125
강원도,평창군,117,대관령한우타운,강원도평창군대관령면올림픽로38,강원도평창군대관령면횡계리37646,37.6753605,128.6998371,0333362150,대관령한우,한식,null,20180125
강원도,정선군,58,미락정갈비,강원도정선군정선읍녹송1길18,강원도정선군정선읍봉양리565,37.3819602,128.6719181,0335634477,갈비,한식,null,20180125
강원도,정선군,139,유스패밀리비비큐,강원도정선군정선읍녹송로93,강원도정선군정선읍봉양리4660,37.3853012,128.6706978,0335638500,양식,경양식,null,20180125
강원도,정선군,152,동광식당,강원도정선군정선읍녹송1길27,강원도정선군정선읍봉양리493,37.3829588,128.6715712,0335633100,정선황기족발콧등치기,한식,null,20180125
강원도,철원군,81,현무암,강원도철원군동송읍태봉로1825,강원도철원군동송읍장흥리201,38.1865639,127.2874501,0334558555,매운탕,한식,null,20180125
강원도,철원군,124,민통선한우촌,강원도철원군갈말읍호국로4987,강원도철원군갈말읍문혜리1206,38.1876313,127.3219732,0334526649,한우구이,식육숯불구이,null,20180125
강원도,철원군,135,한우연,강원도철원군동송읍금학로136번길9,강원도철원군동송읍이평리7234,38.2017028,127.2227121,0334551717,한우생고기한우육회,한식,null,20180125
강원도,화천군,140,웰빙오계가든,강원도화천군화천읍가손이길43,강원도화천군화천읍아리1071,38.1004997,127.7254389,0334419595,오골계구이,한식,null,20180125
강원도,양구군,107,오래드림고원,강원도양구군양구읍양록길23번길127,강원도양구군양구읍상리50913,38.1076752,127.9857224,0334819244,갈비등심,식육숯불구이,null,20180125
강원도,양구군,130,석장골오골계집,강원도양구군양구읍양록길23번길167,강원도양구군양구읍상리50613,38.1081708,127.9857599,0334820801,오골계,식육숯불구이,null,20180125
강원도,인제군,131,부흥식당,강원도인제군북면황태길367,강원도인제군북면용대리190,38.2195436,128.3702686,0334625212,황태구이,한식,null,20180125
강원도,고성군,136,금화정막국수,강원도고성군토성면화원길4221,강원도고성군토성면교암리2042,38.2858311,128.5439197,0336325466,막국수편육,한식,null,20180125
강원도,고성군,158,백송숯불갈비,강원도고성군간성읍간성로311,강원도고성군간성읍신안리2485,38.3788702,128.4712421,0336819009,한우돼지갈비,한식,2018신규,20180125
강원도,양양군,118,송이버섯마을,강원도양양군양양읍안산1길7452,강원도양양군양양읍월리2265,38.0700313,128.6253713,0336723145,송이버섯전골,한식,null,20180125
강원도,양양군,132,등불,강원도양양군양양읍포월나들길23,강원도양양군양양읍포월리19,38.1036025,128.6303095,0336711500,한우구이,기타,null,20180125
