충전소명,충전소위치상세,설치시도명,휴점일,이용가능시작시각,이용가능종료시각,완속충전가능여부,급속충전가능여부,급속충전타입구분,완속충전기대수,급속충전기대수,주차료부과여부,소재지도로명주소,소재지지번주소,관리업체명,관리업체전화번호,위도,경도,데이터기준일자,제공기관코드,제공기관명,
동구청,입구 우측,대구광역시,연중무휴,00:00,00:00,Y,Y,DC차데모+AC3상+DC콤보,1,1,Y,대구광역시 동구 아양로 207,대구광역시 동구 신암동  13150,대구환경공단,053-605-8060,35.886499,128.635956,2018-03-14,6270000,대구광역시,
동대구복합환승센터,별관2층 D15-18,대구광역시,연중무휴,00:00,00:00,Y,Y,DC차데모+AC3상+DC콤보,3,1,Y,대구광역시 동구 동부로 153,대구광역시 동구 신천동  329-19,대구환경공단,053-605-8060,35.878811,128.631021,2018-03-14,6270000,대구광역시,
두류공원,입구 우측,대구광역시,연중무휴,00:00,00:00,Y,N,,4,0,N,대구광역시 달서구 공원순환로 216,대구광역시 달서구 성당동  195-11,대구환경공단,053-605-8060,35.844714,128.561737,2018-03-14,6270000,대구광역시,
대구환경공단(지산),입구 좌측,대구광역시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,대구광역시 수성구 무학로 112,대구광역시 수성구 두산동 499-4,대구환경공단,053-605-8060,35.829676,128.621425,2018-03-14,6270000,대구광역시,
매천역환승공영주차장,입구 좌끝,대구광역시,연중무휴,00:00,00:00,Y,N,,2,0,N,대구광역시 북구 태전동 881-10,대구광역시 북구 태전동  881-10,대구환경공단,053-605-8060,35.914312,128.542716,2018-03-14,6270000,대구광역시,
북구청,입구 좌측,대구광역시,연중무휴,00:00,00:00,Y,Y,DC차데모+AC3상+DC콤보,1,1,Y,대구광역시 북구 옥산로 65,대구광역시 북구 침산3동  447-16,대구환경공단,053-605-8060,35.885169,128.5829108,2018-03-14,6270000,대구광역시,
서구국민체육센터,입구 좌측,대구광역시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,대구광역시 서구 문화로 72,대구광역시 서구 이현동 315-15,대구환경공단,053-605-8060,35.8731715,128.540583,2018-03-14,6270000,대구광역시,
서구청,청사 후면,대구광역시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,Y,대구광역시 서구 국채보상로 257,대구광역시 서구 평리동  1230-9,대구환경공단,053-605-8060,35.871971,128.558756,2018-03-14,6270000,대구광역시,
서문주차빌딩,3층 F 나,대구광역시,연중무휴,07:00,19:30,Y,Y,DC차데모+AC3상+DC콤보,3,1,Y,대구광역시 중구 큰장로26길 45,대구광역시 중구 대신동  115-378,대구환경공단,053-605-8060,35.868986,128.581015,2018-03-14,6270000,대구광역시,
서부법원 앞,도로면,대구광역시,연중무휴,00:00,00:00,Y,N,,4,0,N,대구광역시 달서구 용산동 230-5,대구광역시 달서구 용산동 230-5,대구환경공단,053-605-8060,35.851926,128.525938,2018-03-14,6270000,대구광역시,
성서체육공원주차장,입구 좌측,대구광역시,연중무휴,00:00,00:00,Y,N,,4,0,N,대구광역시 달서구 성서공단로22길 25,대구광역시 달서구 월암동  1-18,대구환경공단,053-605-8060,35.832247,128.495127,2018-03-14,6270000,대구광역시,
성서홈플러스,지하4층 40,대구광역시,연중무휴,04:30,00:00,Y,Y,DC차데모+AC3상+DC콤보,1,1,Y,대구광역시 달서구 달구벌대로 1467,대구광역시 달서구 용산동  230-11,대구환경공단,053-605-8060,35.849357,128.526174,2018-03-14,6270000,대구광역시,
수성구청,입구 좌측,대구광역시,연중무휴,00:00,00:00,Y,Y,DC차데모+AC3상+DC콤보,1,1,Y,대구광역시 수성구 달구벌대로 2450,대구광역시 수성구 범어동  238-3,대구환경공단,053-605-8060,35.858433,128.631104,2018-03-14,6270000,대구광역시,
수성대학교 입구 우,도로면,대구광역시,연중무휴,00:00,00:00,Y,N,,2,0,N,대구광역시 수성구 달구벌대로 529길,,대구환경공단,053-605-8060,35.855826,128.649936,2018-03-14,6270000,대구광역시,
수성대학교 입구 좌,도로면,대구광역시,연중무휴,00:00,00:00,Y,N,,2,0,N,대구광역시 수성구 달구벌대로 528길,,대구환경공단,053-605-8060,35.855772,128.650062,2018-03-14,6270000,대구광역시,
시설안전관리사업소,입구 우측,대구광역시,연중무휴,00:00,00:00,Y,Y,DC차데모+AC3상+DC콤보,3,1,N,대구광역시 달서구 성서공단로 58,대구광역시 달서구 대천동  891,대구환경공단,053-605-8060,35.834556,128.4892806,2018-03-14,6270000,대구광역시,
시지근린공원,도로면,대구광역시,연중무휴,00:00,00:00,Y,N,,4,0,N,대구광역시 수성구 달구벌대로 637길 5,대구광역시 수성구 매호동  1330-2,대구환경공단,053-605-8060,35.843436,128.706152,2018-03-14,6270000,대구광역시,
시청별관,입구 우측,대구광역시,연중무휴,00:00,00:00,Y,Y,DC차데모+AC3상+DC콤보,3,1,N,대구광역시 북구 연암로 60,대구광역시 북구 산격동 994-1,대구환경공단,053-605-8060,35.890633,128.5970855,2018-03-14,6270000,대구광역시,
어린이회관,입구 좌측,대구광역시,연중무휴,00:00,00:00,Y,N,,3,0,Y,대구광역시 수성구 동대구로 176,대구광역시 수성구 황금동  626,대구환경공단,053-605-8060,35.846694,128.625768,2018-03-14,6270000,대구광역시,
올브랜 주차장,입구 우측,대구광역시,연중무휴,00:00,00:00,Y,N,,3,0,Y,대구광역시 북구 산격동 1671,대구광역시 북구 산격동  1671,대구환경공단,053-605-8060,35.904501,128.609471,2018-03-14,6270000,대구광역시,
외환들공영주차장,주차장 하단부,대구광역시,연중무휴,00:00,00:00,Y,N,,3,0,N,대구광역시 수성구 미술관로 40,대구광역시 수성구 삼덕동  374,대구환경공단,053-605-8060,35.828748,128.673994,2018-03-14,6270000,대구광역시,
율하체육공원3주차장,입구 좌측,대구광역시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,대구광역시 동구 금호강변로 278,대구광역시 동구 율하동  1626,대구환경공단,053-605-8060,35.859577,128.699585,2018-03-14,6270000,대구광역시,
차량등록사업소,입구 우측,대구광역시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,대구광역시 수성구 동원로 84,대구광역시 수성구 만촌동 1429-9,대구환경공단,053-605-8060,35.866726,128.6397299,2018-03-14,6270000,대구광역시,
첨단의료산업진흥재단,입구 좌측,대구광역시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,대구광역시 동구 첨복로 80,대구광역시 동구 동내동  1115-1,대구환경공단,053-605-8060,35.878206,128.736367,2018-03-14,6270000,대구광역시,
충전인프라 관제센터,입구 정면,대구광역시,연중무휴,00:00,00:00,Y,Y,DC차데모+AC3상+DC콤보,3,1,N,대구광역시 서구 가르뱅이로10길 31,대구광역시 서구 상리동  649-5,대구환경공단,053-605-8060,35.885112,128.531275,2018-03-14,6270000,대구광역시,
충혼탑 주차장,입구 좌측,대구광역시,연중무휴,00:00,00:00,Y,Y,DC차데모+AC3상+DC콤보,1,1,N,대구광역시 남구 앞산순환로 540,대구광역시 남구 대명9동  산186,대구환경공단,053-605-8060,35.832849,128.585379,2018-03-14,6270000,대구광역시,
패션센터 주차장,입구 우측,대구광역시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,Y,대구광역시 북구 유통단지로 14길 17,대구광역시 북구 산격동  1670,대구환경공단,053-605-8060,35.905449,128.611857,2018-03-14,6270000,대구광역시,
환경공단안심관리소,입구 우측,대구광역시,연중무휴,00:00,00:00,Y,Y,DC차데모+AC3상+DC콤보,2,1,N,대구광역시 동구 금호강변로 91,대구광역시 동구 용계동  828-2,대구환경공단,053-605-8060,35.868571,128.680862,2018-03-14,6270000,대구광역시,
반야월공영주차장,입구 우측,대구광역시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,대구광역시 동구 신기동 174,대구광역시 동구 신기동 174,대구환경공단,053-605-8060,35.872287,128.702029,2018-03-14,6270000,대구광역시,
대구환경공단(달서천),입구 좌측,대구광역시,연중무휴,00:00,00:00,Y,Y,DC차데모+AC3상+DC콤보,1,1,N,대구광역시 서구 염색공단로 130,대구광역시 서구 비산동 3016,대구환경공단,053-605-8060,35.884411,128.542192,2018-03-14,6270000,대구광역시,
상중이동행정복지센터,센터 뒤편,대구광역시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,대구광역시 서구 중리동  1085-3,대구광역시 서구 중리동 1085-3,대구환경공단,053-605-8060,35.866906,128.545944,2018-03-14,6270000,대구광역시,
관음공영주차장,입구 좌측,대구광역시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,대구광역시 북구 관음중앙로 80,대구광역시 북구 관음동 448-1,대구환경공단,053-605-8060,35.941098,128.5446973,2018-03-14,6270000,대구광역시,
복현장미공원,1층 주차장 진입 후 우측,대구광역시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,대구광역시 북구 경진로남1길  40,대구광역시 북구 복현동 439-1,대구환경공단,053-605-8060,35.893396,128.617589,2018-03-14,6270000,대구광역시,
대구 부광교회,입구 좌측,대구광역시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,대구광역시 북구 칠곡중앙대로52길38,대구광역시 북구 태전동 608-12,대구환경공단,053-605-8060,35.922086,128.548919,2018-03-14,6270000,대구광역시,
두산오거리(두산스포츠 북동편 도로면),도로면,대구광역시,연중무휴,00:00,00:00,Y,N,,4,0,N,대구광역시 수성구 두산동 954-14,대구광역시 수성구 두산동 954-14,대구환경공단,053-605-8060,35.827264,128.625136,2018-03-14,6270000,대구광역시,
파동교네거리주차장,입구 우측,대구광역시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,대구광역시 수성구 파동로  174,대구광역시 수성구 파동 274,대구환경공단,053-605-8060,35.809905,128.618785,2018-03-14,6270000,대구광역시,
월광수변공원주차장,입구 좌측,대구광역시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,대구광역시 달서구 도원동 928,대구광역시 달서구 도원동 928,대구환경공단,053-605-8060,35.798734,128.548772,2018-03-14,6270000,대구광역시,
대구환경공단(본부),입구 좌측,대구광역시,연중무휴,00:00,00:00,Y,Y,DC차데모+AC3상+DC콤보,1,1,N,대구광역시 달서구 달서대로 210,대구광역시 달서구 대천동 770,대구환경공단,053-605-8060,35.820763,128.495051,2018-03-14,6270000,대구광역시,
다사읍사무소,입구 좌측,대구광역시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,대구광역시 달성군 다사읍 매곡로 7,대구광역시 달성군 다사읍 매곡리 885-1,대구환경공단,053-605-8060,35.8619037,128.454281,2018-03-14,6270000,대구광역시,
달성군 농업기술센터,입구 우측,대구광역시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,대구광역시 달성군 옥포면 비슬로 2040,대구광역시 달성군 옥포면 교항리 2521-7,대구환경공단,053-605-8060,35.782559,128.446878,2018-03-14,6270000,대구광역시,
문양역 야외주차장,입구 좌측,대구광역시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,대구광역시 달성군 다사읍 문양리  470,대구광역시 달성군 다사읍 문양리 470,대구환경공단,053-605-8060,35.864005,128.437936,2018-03-14,6270000,대구광역시,
비슬산자연휴양림공영주차장,입구 좌측,대구광역시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,대구광역시 달성군 유가면 휴양림길 236,대구광역시 달성군 유가면 용리15,대구환경공단,053-605-8060,35.6938619,128.505323,2018-03-14,6270000,대구광역시,
한국산업단지 달성출장소,입구 좌측,대구광역시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,대구광역시 달성군 구지면 달성2차동1로 109,대구광역시 달성군 구지면 내리 840-3,대구환경공단,053-605-8060,35.6409306,128.419638,2018-03-14,6270000,대구광역시,
울산광역시 북구청,외부 주차장,울산광역시,연중무휴,00:00,24:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,울산광역시 북구 산업로 1010,울산광역시 북구 연암동 1004-1,한국자동차환경협회,1661-9408,35.5824573,129.3611328,2018-07-25,3720000,울산광역시 북구,
농소2동 주민센터,외부 주차장,울산광역시,연중무휴,00:00,24:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,울산광역시 북구 찬샘1길 24,울산광역시 북구 신천동 203-2,한국자동차환경협회,1661-9408,35.6383642,129.3483963,2018-07-25,3720000,울산광역시 북구,
울산공항,외부 주차장,울산광역시,연중무휴,00:00,24:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,울산광역시 북구 산업로 1103,울산광역시 북구 송정동 522,한국자동차환경협회,1661-9408,35.5935533,129.3564797,2018-07-25,3720000,울산광역시 북구,
한전동울산지사,외부 주차장,울산광역시,연중무휴,00:00,24:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,울산광역시 북구 명촌23길 8,울산광역시 북구 진장동 820-1,한국전력,1899-2100,35.5574164,129.3597221,2018-07-25,3720000,울산광역시 북구,
차량등록사업소,외부 주차장,울산광역시,연중무휴,00:00,24:00,N,Y,DC차데모+AC3상+DC콤보,0,2,N,울산광역시 북구 진장유통로 5,울산광역시 북구 진장동 286-3,한국전력,1899-2100,35.5709705,129.3559257,2018-07-25,3720000,울산광역시 북구,
울산서비스센터,외부 주차장,울산광역시,연중무휴,00:00,24:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,울산광역시 북구 염포로 317,울산광역시 북구 효문동 580-1,현대자동차,052-283-7500,35.5607562,129.3741407,2018-07-25,3720000,울산광역시 북구,
명촌주차장,외부 주차장,울산광역시,연중무휴,00:00,24:00,Y,Y,DC차데모+AC3상+DC콤보,1,1,N,울산광역시 북구 산업로 754,울산광역시 북구 명촌동 433-59,한국전기차충전서비스,1522-1782,35.6334994,129.3483867,2018-07-25,3720000,울산광역시 북구,
현대자동차 문화회관,외부 주차장,울산광역시,연중무휴,00:00,24:00,Y,Y,DC차데모+AC3상+DC콤보,1,1,N,울산광역시 북구 염포로 599,울산광역시 북구 염포동 50,한국전기차충전서비스,1522-1782,35.5406872,129.3901705,2018-07-25,3720000,울산광역시 북구,
현대자동차 출고주차장,외부 주차장,울산광역시,연중무휴,00:00,24:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,울산광역시 북구 염포로 700,울산광역시 북구 양정동 700,한국전기차충전서비스,1522-1782,35.5381956,129.3855866,2018-07-25,3720000,울산광역시 북구,
북구 농소1동주민센터,외부 주차장,울산광역시,연중무휴,00:00,24:00,Y,N,-,1,0,N,울산광역시 북구 호계2길 10,울산광역시 북구 호계동 874-1,지엔텔,1544-4279,35.6227593,129.3560313,2018-07-25,3720000,울산광역시 북구,
북구 송정동주민센터,외부 주차장,울산광역시,연중무휴,00:00,24:00,Y,N,-,1,0,N,울산광역시 북구 송내14길 41,울산광역시 북구 화봉동 1469,지엔텔,1544-4279,35.5923129,129.3652024,2018-07-25,3720000,울산광역시 북구,
북구 염포동주민센터,외부 주차장,울산광역시,연중무휴,00:00,24:00,Y,N,-,1,0,N,울산광역시 북구 염포로 707,울산광역시 북구 염포동 362-1,지엔텔,1544-4279,35.5305126,129.3940624,2018-07-25,3720000,울산광역시 북구,
북구 양정동주민센터,외부 주차장,울산광역시,연중무휴,00:00,24:00,Y,N,-,1,0,N,울산광역시 북구 오치골3길 16-1,울산광역시 북구 양정동 488-3,지엔텔,1544-4279,35.5486875,129.3854351,2018-07-25,3720000,울산광역시 북구,
북구 효문동주민센터,외부 주차장,울산광역시,연중무휴,00:00,24:00,Y,N,-,1,0,N,울산광역시 북구 산업로 970,울산광역시 북구 연암동 966,지엔텔,1544-4279,35.5777473,129.3612009,2018-07-25,3720000,울산광역시 북구,
여산휴게소(순천방향),여산휴게소,전라북도,연중무휴,00:00,23:00,N,Y,,0,1,N,전라북도 익산시 여산면 호남고속도로 191,전라북도 익산시 호산리 산 32-6,한국자동차환경협회,1661-9408,36.048553,127.102336,2018-08-14,4680000,전라북도 익산시,
한국전력공사익산지사,한전 본관 옆 주차장,전라북도,연중무휴,06:00,23:00,N,Y,,0,2,N,전라북도 익산시 석암로15길 156,전라북도 익산시 팔봉동 850,한국전력,1899-2100,35.961737,127.004473,2018-08-14,4680000,전라북도 익산시,
함열올림픽 스포츠센터,함열올림픽 스포츠센터 주차장,전라북도,연중무휴,00:00,23:00,N,Y,,0,1,N,전라북도 익산시 함열읍 함낭로 511,전라북도 익산시 함열읍 와리 173-7,한국자동차환경협회,1661-9408,36.074967,126.963986,2018-08-14,4680000,전라북도 익산시,
익산시청,익산시청 제2청사 주차장,전라북도,연중무휴,00:00,23:00,Y,N,,1,0,N,전라북도 익산시 인북로38길 1,전라북도 익산시 남중동 86-8,전라북도 익산시청,063-859-5538,35.948357,126.957688,2018-08-14,4680000,전라북도 익산시,
익산시청,익산시청 본청 뒷편,전라북도,연중무휴,00:00,23:00,Y,N,,1,0,N,전라북도 익산시 인북로32길 1,전라북도 익산시 남중동 60,전라북도 익산시청,063-859-5664,35.948357,126.957688,2018-08-14,4680000,전라북도 익산시,
익산시청,익산시청 본청 뒷편,전라북도,연중무휴,00:00,23:00,Y,N,,1,0,N,전라북도 익산시 인북로32길 1,전라북도 익산시 남중동 60,전라북도 익산시청,063-859-5436,35.948357,126.957688,2018-08-14,4680000,전라북도 익산시,
군산시 예술의전당,외부 주차장,전라북도,연중무휴,00:00,24:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,전라북도 군산시 백토로 203,전라북도 군산시 지곡동 288,환경부(한국자동차환경협회),063-454-5529,35.961261,126.706181,2018-08-01,4670000,전라북도 군산시,
군산시 철새조망대,외부 주차장,전라북도,연중무휴,00:00,24:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,전라북도 군산시 성산면 철새로 120,,환경부(한국자동차환경협회),063-454-5684,36.019634,126.765053,2018-08-01,4670000,전라북도 군산시,
군산시 농업기술센터,외부 주차장,전라북도,연중무휴,09:00,18:00,Y,N,,1,0,N,전라북도 군산시 개정면 운회길 32 군산시 농업기술센터,전라북도 군산시 개정면 운회리 633-7 군산시 농업기술센터,전라북도 군산시청,063-454-5313,35.961726,126.781393,2018-08-01,4670000,전라북도 군산시,
군산시 보건소,지하 주차장,전라북도,연중무휴,09:00,18:00,Y,N,,1,0,N,전라북도 군산시 수송동로 58 군산시 보건소,전라북도 군산시 수송동 851-1 군산시 보건소,전라북도 군산시청,063-460-3231,35.964665,126.720215,2018-08-01,4670000,전라북도 군산시,
군산시청 2,지하 주차장,전라북도,연중무휴,09:00,18:00,Y,N,,1,0,N,전라북도 군산시 시청로 18 군산시청,전라북도 군산시 조촌동 888 군산시청,전라북도 군산시청,063-454-3472,35.967613,126.736842,2018-08-01,4670000,전라북도 군산시,
군산시청 1,지하 주차장,전라북도,연중무휴,09:00,18:00,Y,N,,1,0,N,전라북도 군산시 시청로 17 군산시청,전라북도 군산시 조촌동 888 군산시청,전라북도 군산시청,063-454-3392,35.967613,126.736842,2018-08-01,4670000,전라북도 군산시,
군산시 새만금경제자유구역사업단,외부 주차장,전라북도,연중무휴,00:00,24:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,전라북도 군산시 오식도동 1010,전라북도 군산시 오식도동 827,환경부(한국자동차환경협회),1661-0970,35.947734,126.587035,2018-08-01,4670000,전라북도 군산시,
군산휴게소(목포방향),외부 주차장,전라북도,연중무휴,00:00,24:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,전라북도 군산시  나포면  서해안고속도로 148 휴게소와 주유소 사이 옥외 주차장(서포리 406-6),전라북도 군산시 성산면 산곡리 1,환경부(한국자동차환경협회),1661-0970,35.980829,126.828971,2018-08-01,4670000,전라북도 군산시,
군산휴게소(시흥방향),외부 주차장,전라북도,연중무휴,00:00,24:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,"전라북도 군산시 성산면 서해안고속도로 141 , 휴게소와 주유소 사이 옥외 주차장(산곡리 650-8)",전라북도 군산시 나포면 서포리 406-6,환경부(한국자동차환경협회),1661-0970,36.019117,126.797663,2018-08-01,4670000,전라북도 군산시,
군산시 롯데마트,내부 주차장,전라북도,마트휴무일,00:00,24:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,전라북도 군산시 수송로 185(수송동),전라북도 군산시 수송동 833,환경부(한국자동차환경협회),1661-0970,35.964892,126.716425,2018-08-01,4670000,전라북도 군산시,
군산시 경암동주민센터,외부 주차장,전라북도,연중무휴,00:00,24:00,Y,N,,1,0,N,전라북도 군산시 경암3길 56 (경암동     경암동주민센터),전라북도 군산시 경암동 636-37,케이티,063-454-7561,35.979898,126.729870,2018-08-01,4670000,전라북도 군산시,
군산시 흥남동주민센터,외부 주차장,전라북도,연중무휴,00:00,24:00,Y,N,,1,0,N,전라북도 군산시 월명로 377 (미원동     흥남동주민센터),전라북도 군산시 미원동 365,케이티,063-454-7502,35.978844,126.715863,2018-08-01,4670000,전라북도 군산시,
군산시 소룡동행정복지센터,외부 주차장,전라북도,연중무휴,00:00,24:00,Y,N,,1,0,N,전라북도 군산시 설림안4길 30 (소룡동     소룡동행정복지센터),전라북도 군산시 소룡동 1530-7,케이티,063-454-7801,35.973860,126.683779,2018-08-01,4670000,전라북도 군산시,
군산시 조촌동주민센터,외부 주차장,전라북도,연중무휴,00:00,24:00,Y,N,,1,0,N,전라북도 군산시 조촌로 102 (조촌동     조촌동주민센터),전라북도 군산시 조촌동 739-1,케이티,063-454-7534,35.973325,126.738047,2018-08-01,4670000,전라북도 군산시,
군산시 신풍동주민센터,외부 주차장,전라북도,연중무휴,00:00,24:00,Y,N,,1,0,N,전라북도 군산시 대학로 215 (문화동     신풍동주민센터),전라북도 군산시 문화동 919-2,케이티,063-454-7432,35.582300,126.420200,2018-08-01,4670000,전라북도 군산시,
군산시 삼학동주민센터,외부 주차장,전라북도,연중무휴,00:00,24:00,Y,N,,1,0,N,전라북도 군산시 미원로 17 (오룡동     삼학동주민센터),전라북도 군산시 오룡동 827-1,케이티,063-454-7402,35.977056,126.707197,2018-08-01,4670000,전라북도 군산시,
군산시 나운3동주민센터,외부 주차장,전라북도,연중무휴,00:00,24:00,Y,N,,1,0,N,전라북도 군산시 부곡1길 25 (나운동     나운3동주민센터),전라북도 군산시 나운3동 868-4,케이티,063-454-7774,35.959056,126.689235,2018-08-01,4670000,전라북도 군산시,
군산시 나운1동주민센터,외부 주차장,전라북도,연중무휴,00:00,24:00,Y,N,,1,0,N,전라북도 군산시 신설3길 3 (나운동     나운1동주민센터),전라북도 군산시 나운1동 790-1,케이티,063-454-7693,35.967116,126.694711,2018-08-01,4670000,전라북도 군산시,
군산시 개정동주민센터,외부 주차장,전라북도,연중무휴,00:00,24:00,Y,N,,1,0,N,전라북도 군산시 번영로 339-5 (개정동     개정동주민센터),전라북도 군산시 개정동 507-24,케이티,063-454-7613,35.964518,126.754549,2018-08-01,4670000,전라북도 군산시,
군산시 중앙동주민센터,외부 주차장,전라북도,연중무휴,00:00,24:00,Y,N,,1,0,N,전라북도 군산시 신영3길 11 (신영동     중앙동주민센터),전라북도 군산시 신영동 9-3,케이티,063-454-7462,35.985722,126.718379,2018-08-01,4670000,전라북도 군산시,
군산시 월명동주민센터,외부 주차장,전라북도,연중무휴,00:00,24:00,Y,N,,1,0,N,전라북도 군산시 구영6길 51 (월명동     월명동주민센터),전라북도 군산시 월명동 2-1,케이티,063-454-7380,35.986718,126.708903,2018-08-01,4670000,전라북도 군산시,
